SleepHours
13
10
10
7.5
9.5
6.25
9.25
7
9
9
9
8.75
7.5
5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.3
3
8.25
8.25
8.15
8
4
4.75
8
6
8
8
8
8
8
8
8
5.5
8
7.6
7.5
7.5
5.25
7.5
7.5
6.5
7.5
7.5
7.5
7.5
7.5
7.5
7.5
7.5
7.45
7.3
7.25
7.25
7.25
7.25
7.25
7.25
7.25
7
7
7
7
7
7
7
7
7
7
7
7
7
7
7
7
7
7
6.75
6.5
6.5
6.5
6.5
6.5
6.5
6.5
6.5
6.25
6.25
6.2
6
6
6
6
6
6
6
6
5.75
5.75
5.75
5.75
5.5833
5.5
5.5
5.5
5.5
5.5
5
5
5
5
4.25
4
4
4
4
3.5
