airport,city,state,airport_name,hub,international,elevation_1000,latitude,longitude,arr_flights,perc_delay15,perc_cancelled,perc_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
INL,International Falls, MN, Falls International Einarson Field,no,yes,1.1844,48.6,-93.4,52,11.5384615,5.769230769,0,321,5,0,96,0,220
JAN,Jackson/Vicksburg, MS, Jackson Medgar Wiley Evers International,no,yes,0.3464,32.3,-90.1,692,22.5433526,1.300578035,0.722543353,12720,4512,512,1164,0,6532
JFK,New York, NY, John F. Kennedy International,yes,yes,0.013,40.6,-73.8,10461,23.7071026,0.525762355,0.200745627,186391,59090,5528,44405,114,77254
JLN,Joplin, MO, Joplin Regional,no,no,0.9777,37.2,-94.5,123,22.7642276,4.06504065,1.62601626,1499,300,135,177,0,887
JMS,Jamestown, ND, Jamestown Regional,no,no,1.4999,46.9,-98.7,84,17.8571429,4.761904762,1.19047619,2837,1263,950,164,0,460
LAN,Lansing, MI, Capital Region International,no,yes,0.8608,42.8,-84.6,276,15.5797101,1.086956522,0,3726,1855,184,417,0,1270
LAS,Las Vegas, NV, McCarran International,yes,yes,2.1812,36.1,-115.2,13222,21.7743155,0.589925881,0.075631523,173152,47979,5974,48725,422,70052
LAW,Lawton/Fort Sill, OK, Lawton-Fort Sill Regional,no,no,1.1103,34.6,-98.4,113,15.9292035,3.539823009,0.884955752,1120,248,311,68,0,493
LAX,Las Angeles,CA,Los Angeles International,yes,yes,0.1278,33.9,-118.4,18689,23.4094922,0.786558938,0.123067045,265578,95226,6195,63700,416,100041
LBB,Lubbock, TX, Lubbock Preston Smith International,no,yes,3.2824,33.7,-101.8,595,22.1848739,3.025210084,0.504201681,7924,2460,608,437,0,4419
LBE,Latrobe, PA, Arnold Palmer Regional,no,no,1.1987,40.3,-79.4,81,16.0493827,0,0,1326,208,561,175,0,382
LBF,North Platte, NE, North Platte Regional Airport Lee Bird Field,no,no,2.777,41.1,-100.7,53,16.9811321,1.886792453,0,1381,1128,0,38,0,215
LBL,Liberal, KS, Liberal Mid-America Regional,no,no,2.8856,37,-101,54,7.4074074,1.851851852,1.851851852,327,152,0,41,0,134
LCH,Lake Charles, LA, Lake Charles Regional,no,no,0.0146,31,-93.2,157,14.6496815,0.636942675,0.636942675,2670,454,826,1080,0,310
LCK,Columbus, OH, Rickenbacker International,no,yes,0.7439,39.8,-82.9,70,17.1428571,0,0,1946,1550,0,130,0,266
LEX,Lexington, KY, Blue Grass,no,no,0.9793,38,-84.6,742,16.9811321,0.269541779,0.269541779,8891,2651,660,1123,0,4457
LIH,Lihue, HI, Lihue Airport,no,no,0.1524,22,-159.3,1322,11.7246596,0.15128593,0.15128593,7390,3525,55,1600,0,2210
LSE,La Crosse, WI, La Crosse Regional,no,no,0.6554,43.9,-91.3,180,17.7777778,1.111111111,0,2878,522,934,218,0,1204
LWB,Lewisburg, WV, Greenbrier Valley,no,no,2.3016,37.9,-80.4,53,24.5283019,7.547169811,0,851,518,178,48,0,107
MAF,Midland/Odessa, TX, Midland International Air and Space Port,no,yes,2.8721,31.9,-102.2,829,22.1954162,1.085645356,0.241254524,15960,6073,303,1241,0,8343
MCI,Kansas City, MO, Kansas City International,yes,yes,1.0269,39.3,-94.7,4363,18.3360073,0.870960348,0.091680037,44030,16233,797,5747,16,21237
MCO,Orlando, FL, Orlando International,yes,yes,0.0964,28.4,-81.3,13092,21.761381,0.534677666,0.183318057,180634,57673,6064,39366,255,77276
MDW,Chicago, IL, Chicago Midway International,yes,yes,0.6198,41.8,-87.8,6857,16.6982645,2.289631034,0.072918186,53050,18905,1483,6401,220,26041
MFR,Medford, OR, Rogue Valley International - Medford,no,yes,1.3353,42.4,-122.9,460,17.3913043,1.956521739,0.217391304,6660,1722,1036,355,0,3547
MGM,Montgomery, AL, Montgomery Regional,no,no,0.2211,32.3,-86.4,280,16.4285714,0,0.357142857,3045,539,685,199,0,1622
MIA,Miami, FL, Miami International,yes,yes,0.0093,25.8,-80.3,8389,18.5838598,0.095362975,0.178805579,97331,38561,2452,16634,254,39430
MLB,Melbourne, FL, Melbourne International,no,yes,0.0333,28.1,-80.6,232,17.6724138,0,0,1667,628,42,396,0,601
MMH,Mammoth Lakes, CA, Mammoth Lakes Airport,no,no,7.1348,37.6,-118.8,57,19.2982456,19.29824561,1.754385965,1580,1024,0,12,0,544
MQT,Marquette, MI, Sawyer International,no,yes,1.2045,46.3,-87.4,117,23.0769231,8.547008547,0,9172,2293,3523,114,0,3242
MRY,Monterey, CA, Monterey Regional,no,no,0.2566,36.6,-121.8,366,28.9617486,1.912568306,0,8698,2788,227,857,12,4814
