DistanceMaze,DistanceOpen
1.1,3.8
0.72,8.8
1.1,1.4
1.9,12.8
0.9,6.5
1.5,63.5
1,8.5
1.1,10.3
0.8,6.5
0.7,18.9
1,17.5
2.1,8.8
1.1,41.9
1.3,6.5
1.2,7.5
6,23.8
2.6,46.7
1.2,8.4
1.1,7
1.8,11.1
1.3,27.1
0.95,9.82
1.15,16.45
1.31,23.53
0.92,13.1
1.2,1.75
3.73,19.1
