Tattoo,No_Tattoo
0.1312,0.2048
0.0896,0.1984
0.0896,0.1312
0.1504,0.2656
0.16,0.4192
0.1312,0.4032
0.176,0.2784
0.1824,0.3264
0.0864,0.2368
0.5856,0.9888
