Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
 Nursing ,In state,16,right,9 inches ,114.8 lb,102.8 lb
Kinesiology ,In state,18,right,18.5,61.8,56
University Studies ,Out of state ,15,right,11 cm,54.4 lbs,40 lbs 
Pre-nursing,In-state,15,right,8 and 1/2 in ,68.2,58.6
Finance,Out of state,15,right,19,91.8,88.4
pre nursing ,in_state,16,right,17.5,32,36
Nursing ,Out of state ,19,right,18,55,51
Cell Bio & Neuroscience,In state ,15,right,19,85,68
Pre nursing ,Out of state,15,right,7 inches,R 22.0 ,19.8
biochemistry,in_state,16,right,15.5,37,25.6
Animal science ,Out of state ,18,right,21,44.4,28.6
Animal science ,Out of state,8,right,18cm,60.2,62.4
Business Management,Out of state,15,right,22,106.5,98.6
Biochemistry ,In state ,12 but with 15hrs of lab work ,right,21 cm,50.2,43.8
Kinesiology ,In state,15,right,22,91.4,80.6
Business Management ,in-state,16,right,17.5 cm,64.8,56.6
Sociology-Criminology,In state,15,right,18,64,54
"Biochemistry, Microbiology",In state,17,right,19,76.2,69.2
nursing,out_state,15,right,20.5,68,51
Business management ,Out of state ,16,right,19 and 1/2 ,30 lb,15 lb
Finance ,out of state ,12,right,8 1/2,1,1
Microbiology,Out,17,right,22 cm,103,108
nursing ,out of state ,19,right,18,54,51
Biology- pre med ,Out of state ,15,right,19,30 lb,40 lb
Kinesiology ,In state ,17,right,22 cm ,93,83
Microbiology,In-state,14,right,18 cm,102.8,101.8
Business management ,Out of state ,15,right,22,118,114
business_management,out_state,15,left,18,20,18
Business Management ,In state,15,right,24 1/2 cm,75.9,71.4
Microbiology.,In state.,17,right,22 centimeters ,57.4,55.2
Agricultural Business,Out of state,15,left,18.5,54.3,59.4
Accounting ,Out of state,15,right,19 cm,64,64
Biochemistry,In-state,15,right,19,64,34
Criminology,In state,18,right,19cm,60,58
accounting,out_state,15,right,20,93.2,79.2
Fish and wildlife management and ecology ,In state,15,right,24.5 cm,105.3,106.8
cell_bio_neuroscience,out_state,17,right,20,47,35
Snow science,Out of state,16,right,23,127,114
Cellular Biology and Neuroscience,In-State,13,right,19.5,76,65
Nursing,In state,15,right,19 cm,33 lbs,31 lbs
Management,Out of state,12,right,9.5 inches,81.4,77.3
Business managment,Out,15,right,22,104,105
Business management ,In state,18,right,20,140,140
animal_science,out_state,15,right,18,30.4,24.4
pre_med,out_state,16,right,18,39.6,27.8
English writing,Out,16,right,20,37.6,34.2
Finance,In state,15,right,19.5 cm,53 lb,47.6 lb
Ag Business: Farm and Ranch Management ,In state,18,right,18.5,56.4,54.4
Environmental science ,Out of state ,18,right,17,34,32
Business marketing ,In state ,14,right,19,23,25
Marketing,out of state,16,right,9,80,80
Businesses management ,Washington,17,right,9”,106.8,106.2
Kinesiology ,In State ,15,right,23 cm,129.5,122.4
University studies ,In-state,15,right,24.5 cm,61.2,63.2
marketing ,out_state,18,right,21,54.2,49.2
geology,out_state,15,right,19,34.4,36.2
nursing,in_state,15,right,19,33,31
business management ,out_state,15,right,23.5,87.8,93.3
english writing & business management ,in state ,19,right,20,55.4,47.4
environment_science,out_state,16,right,21,65.2,67
sociology_criminology ,out_state,16,right,21.5,69.6,64
microbiology ,in-state,15,right,21,84,79
criminology ,out_state,19,right,9,119,99
cell_biology_&_neuroscience,out_state,15,right,21,65,58
Kinesiology,Out-of-state,15,right,21.8,103.4,101.2
Chemical Engineering ,out_state,18,right,20.9,66.6,56
Aviation,Out of state,15,right,17cm,81,50
computer_science,out_state,15,left,21,76.9,75.6
business_management ,in_state,fifteen,right,twenty_two,eighty_five,eighty_one
Business finance,Out of state,15,right,22.5,91.4,81.2
Criminology ,in-state,18,left,18,69.8,74
Kinesiology ,In state ,16,right,24.6,88.4,89.6
Marketing,Out of state,18,right,7.5 inch ,41.2,30.4
Business Management,Out of state,15,right,21cm,25.6,27.6
Business management ,Out,15,right,20cm,91.8,69
Business Marketing ,Out,17,right,No clue,38.6,50.8
Business Management ,Out of state,15,right,22cm,66.2,57.8
"Business, finance ",Out of state,15,right,19.5,29.6,30
Sociology criminology.,In state,16,right,23,122.2,124.8
biochemistry ,out_state,14,right,19,47.6,42.2
Sociology-criminology ,Out of state,16,right,25 cm,83.4,78.2
Stats,In state,15,right,4 in,48,38
Business Management ,In state ,15,right,1-18,39.6,36.6
Computer Science,In-State,16,right,7.75 inches,37,47
Marketing ,Out of state ,17,right,20cm,56.6,55.2
Buisness finance ,In state ,15,right,22 cm,84,69
Computer science,Out of state,15,right,23cm,82 lbs,68.2 lbs
Business Management ,In state,12,right,22cm,83.4,75
Undeclared,In state,15,right,17~ cm,29.4,32.2
Constructional engineering technology ,In state ,14,right,9in ,88.2,85
Business,Out,14,right,19,33.2,25
"Business, Accounting",In State,17,right,21 cm,29.8,28.4
Business Management,Out of state,15,right,8,93.4,94.4
Biochemistry,In state,15,right,20.5 cm,50.04 lb,50.00 lb
Nursing ,In state ,18,right,17cm ,52.6 lbs ,51.0lbs
Finance,Out of state,19,right,23,89,119
Accounting ,Out of state ,15,right,7 inches ,44,38
Agribusiness ,In state ,16,right,7.5,125,102
Agbusiness,In state,15,right,19,48,54
Pre-Medicine,In-state,15,right,23.1cm,89.2,101.8
Pre Med,In state,15,right,23.5 cm,63.4 lbs,51.2 lbs
Environmental science ,Out of state ,16,left,23cm,25,22.2
Agriculture buisness,Out of state,30,right,17,89.4,85.3
Biochemistry,in state,15,right,21,107,100
pre-nursing,out of state,16,right,19,51.8,47.2
University Studies,Out of state,15,right,20cm,71.6lb,46.61lb
Business management ,In state ,16,right,23cm,72.8 lbs,65.2 lbs
criminology,out of sgate,18,right,19,43.4,43.2
Ag business ,Out-of-state,16,right,20cm,100lbs,85lbs
Buisness management ,Out-of-state,18,right,21 cm,94.2,91.8
Environmental Studies,In state,18,right,22.5 cm,40.8,38.8
business marketing,out of state,15,right,22,70,80
Business Administration ,In state,18,right,10 inches,62,58
business_managment,out_state,18,right,17.75,40.2,26.4
Business Marketing,Out of state,15,right,21cm,74.4,80.2
Environmental Science,Out of state,17,right,23,107.4,98.8
Conservation Biology and Ecology,Out of state,15,right,22.5 cm,62.8,50
Microbiology,Out of state,16,right,18.5,60,64
Business ,In state,16,right,22cm,76,79
biochem,out state,16,right,8,32.6,31.8
Business marketing ,In state ,15,right,13,57,67
business,out of state,15,right,8 3/4,60.8,54.2
Snow science,Out of state,18,right,23cm,143,114
Pre-Nursing,Out of state,14,left,19.5 cm,35.5,35.5
Business Management ,In State,21,right,8 6/8 in,81,64
Earth science ,Out of state ,16,right,21,69,60
pre med,in state,16,right,12,60.4,48.8
Microbiology ,Out of state ,12,right,23,83.2,63.2
Psychology ,Out of state,18,right,20.5,34,32.8
Pre-med ,In-state ,16,right,17.5,35.4,35
Computer Science,In-state,15,right,19,50,50
Sociology-Criminology,Out-of-state,15,left,19,40,34
Pre Nursing,Out,17,right,Idk,Idk,Idk
Biochemistry,Out of State,17,right,9 inches,200,200
music technology,in state,15,right,9in ,100 lbs ,80lbs
Marketing,Out of state,16,right,21.59,115,105
Buisness management ,Out of state ,15,right,21,44,42
economics ,out_state,15,right,21.5,72.4,57.8
business marketing ,out_state,16,right,23,68.5,68.2
Accounting ,In state,15,left,21 cm,50.4,30.4
political_science,in_state,15,right,20,46,44
Criminology ,In-state,15,right,18cm,39.5lbs,30lbs
nursing,out_state,15,right,18,28.6,19.4
Business management,In-state,15,right,23 centimeters,88.2 lbs,77 lbs
Finance,In state,15,right,22.5cm,78,63
nursing,out of state,16,right,23,101,89
pre nursing,out of state,17,right,23 cm,92 lbs,94 lbs
political science ,out_state,15,right,20.5,45.8,35.5
Nursing,In state,15,right,21cm,74.2 lbs,62 lbs
economics ,out_state,17,right,22,"98,6",100
Criminology,In_state,15,right,20.5,60.8,57
business,in_state,15,right,23.4,107.2,102.6
biology, i have an in-state residency ,15 credits,left,20 centimeters,62.6,66.4
nursing,out_state,17,left,20,45.8,46.2
economics,out-of-state,17,right,23,107,98
nursing,in-state,12,right,18,67,70
microbiology,in_state,15,right,21,59,49
music technology ,in_state,12,right,22.7,105.6,85.4
university_studies,out_state,16,right,17,64.4,58.4
biochemistry,out_state,17,right,23.5,109.2,101.8
nursing,in state,17,right,20,58,64.8
business management,out_state,16,right,23,111,122
cell biology and neuroscience ,out-of-state,20,right,19,46,54
"microbiology, pre-vet",out_state,16,right,20,72,57.6
nursing,in_state,16,right,20.5,51.2,42.8
finance ,out_state,15,right,22,79,79
Earth Science - Paleontology Option,Out-of-state,15,right,23.2,54.6,58.8
Buisness,Out of state,15,right,20,52.3,41.2
Business finance ,Out of state ,15,right,21,71,65
Business Management ,Out of state ,15,right,22 cm,77lbs,60lbs
Business finance,I got my in state residency last year,15,right,9in,77.6,Idk
Psychology,in-state,16,right,20,51,56
Accounting,In state,16,right,23 cm,112,106
Business Managment ,Out of state ,15,right,Not sure,48,45
Business Management,Out of state,15,right,6ft,98.6,81.4
GIS,In ,17,left,20,97,94.6
University Studies,in-state,16,right,19 cm,64.6,73
Economics ,In state,15,right,12.5,49.6,48
Earth Science/Geology,In State,16,right,18,48,30
Animal Science - Equine,Out-of-state,15,right,18 cm,33.2,40.2
Premed,Instate,15,right,20,46,49
Political science ,Out of state ,15,right,8 inches ,51.2,53.2
Business marketing,In state,16,right,8.25,62.4,45.8
Business,Out of state,16,right,26,99,97
Finance,Out,15,right,21,52,44
Business management ,In-state,15,left,24cm,145.4,116.8
Marketing ,Out of state,13,left,21 cm,47.6,40
Business marketing,Out of state,16,right,18,58.3,55.2
Psychology for Pre Med,In state ,19,right,15.4,48,46
Finance ,In state ,18,right,8,76.8,64.2
Business Marketing,In-state,16,right,21,113.4,103
psychology and in the pre med major,out of state,15,right,16,36.2,55.4
Sociology ,In state ,15,right,21,26.8,27.6
Pre-Nursing,Out-of-state,13,right,19cm,64.8,60.4
Pre-med microbiology,out of state,16,right,20,45,43.2
Pre med,In state,14+,right,22 cm,79.4,73
Business management ,Out of state,17,right,19,43.8,38.6
Business Management,Out of state,15,right,32cm,84.2,69
Business Finance and aviation ,out of state,16,right,21.5cm,100lbs,75lbs 
psychology,out of state,17,right,15 cm,38.8,42.4
Environmental studies and photography ,In state,18,right,23,72,65
Business management ,Out of state,15,right,8 in,88.8,68.4
Economics ,Out of State,15,right,20 cm,45 lb,48 lb
business finance,out of state,15,right,23 cm,67.2,56.8
Nursing ,In state ,17,right,22cm ,48.2 lbs,59.0 lbs
Environmental science ,In state,15,right,15 cm,62.2 lbs,34.0 lbs
pre-med/biochem,in-state ,14,right,19cm,35.2,35
Business management ,Instate ,15,right,24,94.2,73.2
Finance,Out of state,15,right,18.5,62.6 - broke it few months back though,86.2
Finance,In-state,19,right,16.5,24.4,23.8
Pre Nursing,Out of State,16,right,19,36.2,32
Conservation biology ,In state ,16,right,24.5,101.2,88.8
Business Finance,Out of state,18,right,19 cm,47.6,38.6
animal_science,out-state,17,left,21_cm,37,33
Business management ,Out of state ,15,right,23 centimeters ,90,87.4
Pre nursing,Out of state,19,right,18,41.8,37.2
Undeclared ,Out of state,15,right,23,108,73.4
Agribusiness ,In state,15,right,21.5,42.4,46.2
Nursing ,Out of state ,17,right,23 cm,54,46
pre-nursing,out of state,16 credits,right,20 cm,25.8lbs,22.2 lbs
Business finance,Out of state,15,right,21,80,60
University Studies ,Out of State ,16,right,18.5,27.2,17.4
Business Marketing,Out,16,right,21,41.6,36.8
Computer Science,In-state,15,right,23cm,40lbs,37lbs
Business management ,Out-of-state,15,right,21.1,101.2,97.2
Finance,Out of state,17,right,18cm,38.4,43.7
University Studies (Undeclared),In state ,15,left,21cm,57.4,62.8
Fish and Wildlife Biology,Out of state,15,right,25cm,109.6lb,133.6lb
Aviation ,Out of state,16,right,23.5,84.4,88.2
microbiology,out-of-state,14,right,7.2,23.5,22.1
Pre-med,In-state,15,right,20cm,43.6,35.8
Pre Nursin,out of state,16,right,21,40.6,36.8
Finance ,Out of state,15,right,24,85,87
University_studies ,In_state,16,right,17 cm,42.6_lbs,34.8_lbs
Business management,Out of state ,16,right,25,105,98
Plant science,Out of state,15,right,18.5,33,33
Earth_Science_Geology,In_State,16,right,18,48,30
Nutrition,Out of state ,15,right,19cm,30.2 lbs,35.6 lbs
pre nursing ,out of state ,16,right,20,54.4,51.4
Pre med,In state,18,right,19,40.4,33.6
Paleontology,Out of state,14,right,22cm,52lbs,45lbs
Nursing ,In_state,Num_17,right,19,32.4,35.8
Pre-Med ,Out-of-state ,16,right,18 cm ,31,21
Biotechnology,Out of state,18,right,20.5,50.4,46.4
Business ,In state ,15,right,18.5,35.8,31
animal_science_equine,out_of_state,13,right,19.1,51.2_lbs,36_lbs
Anthropology ,Out of state ,17,right,19,67.4,59.6
Business- Finance,out of state ,15,right,8.5cm ,121.2lbs,107.8lbs 
Pre-nursing,Out of state CA,20,right,24cm,110.5,89.2
Cell Biology and Neuroscience ,Instate,19,right,21cm,108.5,103.5
"Pre Med, Cellular Niology and Neuroscience",In-state,17,right,22 cm,77.9 lbs,50.0 lbs
business finance,out-of-state,15,right,100,100,100
Nursing,Out of state,7,right,19cm,45.4,55.6
Geography ,Out-of-state,17,right,9.5,55.44,45.1
Geography ,Out of state,16,left,8 1/4in,58.3lb,60.5lb
Pre medicine/pre dentistry ,In state ,15,right,7.5 inch,56lb ,46lb 
Business Management ,Out-of-state,17,right,21.5cm,56.4,63.1
Animal Science Pre Vet ,Out of State,14,left,19 cm,49.6,39.6
Organismal bio,In state ,16,right,19.5,50.2,39
Management ,Out,12,right,23 cm,52.6,50
Nursing,Out_state,16,right,24,94.5,84.2
Cell Biology and Neuroscience ,In State ,16 credits ,right,20cm,24.6,19.2
Prenursing ,In state ,15,right,16.5,50lbs ,49.6lbs
Business Management ,Out of State working on in state. ,7.5,right,20 centimeters ,60.6 lbs,50.4 lbs 
Biochem,In-state,15,right,23cm,56.6 lbs,66.6 lbs
business_management ,in_state,15,right,16,152.4,150.4
Nursing,In state,I think 23,right,18 cm,38.2,37.5
Nursing ,Out of state ,17,left,18,70.8,63.4
Mineralogy ,Out of state ,21,right,16cm,49.4,37.6
Business accounting ,In state ,15,right,22cm,64.2,69.2
Animal science,Out of state residency,12,right,19,38.8,39
Biology,Out of state,17,right,15 cm,15.8 lbs,28.2 lbs
Biochemistry ,Out-of-state,17,right,20.5,66.2,67.2
Conservation Biology,Out of state ,15,right,18,16.4,26.6
computer_science,out_state,18,right,23,72,61
biochemistry,out_state,15,right,20.2,50,41.6
cell biology & neuroscience ,in state,17,right,20 cm,51.6,46.8
criminology and politics science ,out of state,14,right,16 cm,37.7,61.1
business_management,out_state,15_credits,right,19_cm,46_lb,37_lb
Sociology ,out of state ,N/A,right,20cm,64.4 Ibs,52 Ibs 
biochemistry ,out_state,16,right,22,71.4,70.8
computer_science,out_state,17,right,22,59.8,45.4
criminology ,out_state,16,right,19.5,40.8,34.8
Business management ,Out of state,18,left,21,54.6,67.6
Economics,In state ,18,left,23cm ,65.2lbs,70.4
Pre-med,In-state,15,right,25,117,101
Pre-nursing,In_state,17,right,20,93.6,80
Pre-nursing ,out of state ,16,right,18.5,44.8,38.2
sociology,out_state,15,right,19,59,47
biochemistry ,out-of-state,15,left,20,49,43
Microbiology ,Out of state,16,right,24,87.4-,75
criminology_and_political_science,out_state,14_credits,right,16_cm,31.7_lb,61.1_lb
biochemistry ,in_state,15,left,22,59,58.8
Sociology,Out of state ,15,right,15,54,22
"Agriculture, farm and ranch management ",Out-of-state,16,left,5 1/2cm,61.6,57.4
Business_management ,in_state,15,right,23 cm,65.5,61.2
Finance ,Our of state ,18,right,22 cm,129.5 lbs. ,116 lbs. 
biochemistry ,out_state,17,right,21,57.6,59.6
nursing ,out_state ,15,right,16.5,26.6,24.6
biotechnology,out-of-state,15,right,19,34,32
Business finance ,Out of state ,21,right,22cm,126.2,102.2
Business (Finance),Out of State,17,right,23.5 cm,114.4 lbs,118lbs
Agriculture business ,Out of state ,15,right,23,87,76
Physics,In-state,15,right,24 cm,84.6,67.4
Chemistry ,In state ,15,right,15.5 cm ,36.6 lbs ,34.0 lbs
Finance,Out-Of-State,15,right,21,65,57
Music BA/Business Marketing ,In-State,18,right,20.5 cm,63.8 lbs,57.8 lbs
Engineering and business management,In state,12,right,7 inches,62.6 lbs,53.4lbs
chemistry,in_state,20,right,20,74.8,65.6
Pre-Med,Out of state ,14,right,20,36.6,32
Biochemistry,Out of state,17,right,16 cm,23,17
Nursing,In-state,15,right,8 1/4,67.6,69.6
Pre nursing ,In state ,15,right,19 cm ,35.3,33.2
culinary_arts,out_state,19,right,22,90.6,88.7
business_management,out_state,15,right,21.5,91.4,87
Nursing ,in_state,17,right,20,35.8,31.5
Finance,Out of state,15,right,21 cm,59,61
nursing,out_of_state,seven,right,twenty_two,fifty_seven,forty_three_point_two
Construction Engineering,In state,15,right,10.5,135.4,123.6
Associate of science ,In state ,3,right,22cm,134,111.6
Construction Engineering Technology ,In State,17,right,22 cm,108.4,93.6
biochem,out of state ,16,right,20 cm,34,40.4
chemistry,in-state,15,right,22,94,80
Agriculture Business ,Out of state,16,right,18,26.2,26.2
geology ,out of state ,16,right,20,40,45
biology,out_state,15,right,23,58.2,58.8
Pre-nursing,In state,15,left,24,85,81.4
biology,in_state,fifteen,right,eleven ,fifty_six_point_six,fifty_three_point_eight
Business Management,in state,15,right,21,85,75
marketing,out_state,15,right,22,108.4,86.6
Business management ,Out of state,17,right,22,45.8,58.2
Chemistry_focus_biochemistry,In_state,18,right,21,76.6,62.6
Nutrition,out-of-state,18,right,19.5,63.8,64
Accounting,In state,18,right,20,38.8,38
Nursing,out_state,15,right,18 1/2 cm,24,26.4
Pre-Nursing,Out of state,16,right,22 cm,3,18
Animal Science Livestock Management and Industry ,In-State,18,left,22 Centimeters,72,71
Psychology,out-of-state,17,right,21,66,55.6
Psychology ,In state,18,right,20 cm,50,40
microbiology ,Out-of-state ,16,right,20 cm,80.1,77.2
Pre-Nursinf,Out of state,16,right,22 cm,76,73.6
marketing,in state,12,right,22,66.2,56.5
Environmental Science ,Out-of-state ,16,left,19cm,66,66
Chemistry/biochemistry ,Out of state ,15,right,21.10cm,63.4,67.2
Finance ,Out of state ,15,right,21,67,56.8
pre_nursing ,out_state,sixteen,right,sixteen cm ,32.6 lbs ,34.2 lbs 
Paleotonology,out state,21,right,21cm,79.4,64.6
Aviation,Out of state,18,right,23,98.2,102.2
political_science,in-state,17,right,20.5cm,71.6,71.6
fish and wildlife ecology ,in_state,17,right,20.4,52.2,49.6
Political Science,Out of State Tution,13,left,21.2 cm,69.4,64.6
Biochemistry ,Out of state ,15,right,26,113.8,94.4
organismal_biology,out_of_state,16,left,19,42.2,37.2
Business management ,In-state,15,right,21 cm,125.5,114.6
computer_science,out_state,15,right,19,46.2,29.4
Undeclared / pre dental,In state,16,right,19,49,39.6
Biochemistry ,In state,17,right,20.8,64.8,62
business_management,out_of_state,15,right,20.5,39.6,33.6
Nursing,Out-of-state ,16,right,21,60.2,51.4
Biochemistry ,Out of state,17,right,20.5,62,60.2
speech,in_state,3,left,17,34,35
Microbiology-pre med,Out of state,15,right,21,29,24
Environmental Studies,Out of state,15,right,19,39.6,40
University Studies,out-of-state,15,right,20 cm,32.6,35
nursing,in-state,15-16,left,22.2,67.4,61
Exercise Science,Out of state,16,right,20 cm,66.2,62.6
Cell Biology and Neuroscience,Out of state,13,right,21 cm,97,85
GIS/Planning,In-State,16,left,23.5,108,111.4
Call Biology and Neuroscience ,In-state,15,right,22 cm. ,100.6,104 .2
Microbiology ,Out of state,13,right,17,49.8,57.6
biochemistry,out_state,16,right,24,125.4,125.2
Economics,in state ,14,right,10 inches and 1/4,99.8,84.4
Nursing,Out of state,16,right,22 1/2,58.4,58.2
Biochemistry ,In-state,15,left,23 centimeters ,60.8,59.4
Microbiology ,In-state,18,right,23,109,100
Business Management ,Out of state,6,right,20,51.2,52.6
Marketing,Out of state,16,right,23,120,110
finance ,out of state ,15,right,20,77.4,64.5
 Business Management,Out of state,15,right,17 cm,77.6 lbs,74.3 lbs
