Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
nutrition,in_state,17,right,18.5,49.5,42.8
Nursing,Out of state ,15,right,18cm,43.6 lb,22.5 lb
Business Management ,Out of state. ,16,right,22,59,54.6
Animal Scoence,Out of State,15,right,21,74.8,63
Accounting,Out of State,15,right,9.75,90,105
Accounting,out of state,15,right,21,96.4,89
Business accounting ,In state,15,right,19.5 cm,89.8,89.2
Animal and equine science ,Out of state,18,right,7 inch,47.4lbs,45.6lbs
Economics and Agricultural business ,In state ,16,right,22,118.2,106.8
Business management ,In state ,15,right,6.5,12.6,13.8
Hospitality management ,Out of state ,15,right,22.5,68.4,60.4
business marketing,in state ,15,right,7 cm,55,48
Pre-Nursing,Out of state,15,right,20cm,72.4,61.6
Animal Science - Pre Vet ,In state ,18,right,19cm,50lbs,45lbs
Accounting,Out of state,6,right,18.5,65.2,62.8
Business management,Out of state,15,right,21.5,92.8,89.8
Computer science ,In state,16,left,20,30,40
Pre-Nursing,In-State ,15,right,23 cm,91,94.6
Political Science ,Out of state ,18,right,19cm,34.3,28.2
Finance ,In state ,15,right,21,99.6,104
Fish and wildlife ecology ,Out of state ,15,right,23,82.8,64.6
Environmental Horticulture,In-state ,16,right,21,79.4,69.2
business marketing,out of state,16,right,19 cm,73.6,35.6
Kinesiology ,In-state,15,right,21.1,86.2,80.6
Business Marketing ,In-state residency,15,right,18cm,44 lbs,34lbs
Business Management ,In state,15,right,20cm,83.4lbs,83.2lbs
Livestock Management & Industry,Out-of-state,14,right,21 cm,56.4 lbs,53.6
Rangeland ecology and land management ,In state,17,left,18cm,66,67
Business ,Out of state,16,left,18cm,54.6,43.2
Business Marketing ,Out of state ,15,right,20cm,57.6,45.8
Horticulture science ,In state ,15,right,19.5,50.8,44
Business Finance,Out of state,16,right,22 1/2 cm,84.8,80
Business Marketing,Out of State,15,right,23 cm,112.8,102.6
business marketing ,out of state ,15,right,16cm,22.8,23
Exercise Science ,Out of state ,18,right,16,34.2,35
Business management,Out of state,16,left,25,80.4,70.4
Earth science-snow science ,In state ,4 classes worth ,right,11 cm,94 lbs,90 lbs
Business Finance,In State.,15,right,21cm,90,83.6
Ranching systems,Out of state,17,right,20cm,52,37
Dietetics- food and nutrition ,In-state ,15,right,19.5 cm,51.8 lbs,45.6 lbs
Criminology,Out of state ,7,right,17,18.2,26.8
Business Management ,Out of state,16,right,21.5 cm,77.8 lbs,66.8 lbs
Fish and Wildlife Management ,Out of state,15,right,16cm,55.6,50.2
Buisness_Management_and_Studio_Arts,In_state,Sixteen_credits,right,Twelve_and_a_half_centimeters,Thirty_three_point_six,Twenty_nine_point_eight
Animal science ( livestock management ,Out of state,14,right,22cm,79(Ibs),79(Ibs)
Environmental studies,Out of state,17,right,17.5 cm,61,54.6
Business Management ,In state,15,right,24,105.8,95.6
Crop and soil science ,Out of state,18,right,21 centimeters ,81.8,79.4
Business with a focus in finance ,Out of state,15,right,21.7cm,87.8,87.4
anthropology,out-of-state_process_of_in-state,6,right,18,42.8,41.6
Business Accounting ,Out of state ,16,right,18 cm,59.4,52.2
Construction_engineering_and_technology,Out_state,16,right,23,90,100
Criminology,Out-of-state residency,15,right,18 cm,47.2,34.6
Finance,In state ,15,right,17,30,26
Nursing,Out-of-state ,15,right,20 cm,42 lbs ,37 lbs
pre-nursing,out of state,15,right,8”,51.0lb,51.0lb
Environmental Science ,In state ,TBD; 15-18,right,19.4 cm,41.8 lbs,35.7 lbs 
Cell Biology & Neuroscience,In-state,16,right,22.85,96.2,90.6
Fish and wildlife management,Out of state,13,right,16,71.8,65.3
GIS,Out-of-state,15,left,19.5 cm,73,80
Nursing ,Out-of-state,16,right,6.5,45,37
Computer Science,In-state,21,right,10,124,114
Business Management ,out of state,18,right,15,118.4,125.6
Biochemistry ,Out of state ,18,right,18 cm  ,79,73
Kinesology,In-state ,13,right,19cm ,51.2,48.8
