Pre_DSF,Post_DSF
9,8
11,11
8,9
10,11
9,8
13,14
8,10
11,13
13,14
10,9
8,9
16,16
7,9
13,12
10,15
10,10
8,9
8,10
10,8
16,14
7,5
9,11
8,10
9,11
11,12
9,9
8,10
12,11
12,13
5,10
12,12
14,14
8,10
9,11
12,11
8,10
11,11
8,8
6,7
11,10
11,11
8,9
11,14
