Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Total No of Comments,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness_Thumbnail,Trustworthiness_Video,Does the Video Require Subject Matter Expertise from an Expert ?,Creator_SME,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
T-Series,https://www.youtube.com/watch?v=Ard-_9pCyzA,Bande,0:03:15,Hindi,Music,"233,518.00","10,000.00",310,"227,000,000.00",15-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=oVcfG_VEmPw,Sunidhi Chauhan: Chaap Tilak (Audio),0:04:34,Hindi,Music,"19,644.00",349,29,"227,000,000.00",15-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=2FihYZxJISs,Pyaar Karenge(Audio): Token,0:04:20,Hindi,Music,"36,172.00",682,121,"227,000,000.00",15-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=4jHqHkaE8PU,Dil de diya hai(teaser) Thank God,0:00:29,Hindi,Music,"455,280.00","24,000.00",586,"227,000,000.00",16-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=4IvHLbCpiCU,Tara vs Bilal:Dialogue Promo 01,0:00:30,Hindi,Entertainment,"98,867.00","3,500.00",299,"227,000,000.00",16-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=zzwRbKI2pn4,Yalgaar,0:03:15,Hindi,Music,"312,997,518.00","17,000,000.00","1,700,000.00","37,000,000.00",5/6/2020,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=l6BChpns5w8,Ladkiyon ka best friend,0:09:04,Hindi,Entertainment,"28,080,731.00","4,600,000.00","180,000.00","37,000,000.00",11/8/2022,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=-LIMVVfRp6Q,Indian food magic,0:08:06,Hindi,Entertainment,"31,697,064.00","5,100,000.00","150,000.00","37,000,000.00",21-04-2022,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=0jUj3rfO7eM,Thara bhaiii carryminati,0:00:00,Hindi,Entertainment,"49,751,427.00","6,400,000.00","340,000.00","37,000,000.00",19-01-2022,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",8,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=7mFvyrNHZRY,Vardaan,0:05:25,Hindi,Music,"64,338,132.00","6,400,000.00","430,000.00","37,000,000.00",17-01-2021,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=eDiA1p5DlLg,World's Most Viewed life changing video,2:11:28,Hindi,Motivation,"62,798,625.00","870,000.00","38,000.00","25,500,000.00",24-11-2012,13-02-2012,Motivation,Delhi,"1,991,376,345.00",8,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=GSau-ot0QHQ,Meet Zindagi with Richa,0:16:15,Hindi,Motivation,"1,000,915.00","74,000.00","5,700.00","25,500,000.00",15-10-2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=Kdr7cKs_YQ0,Meet Mahatmaji Technical,0:17:41,Hindi,Motivation,"826,920.00","58,000.00","4,200.00","25,500,000.00",13-10-2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=BGf2RS2Qqw8,Meet Sonu Sharma,0:15:47,Hindi,Motivation,"3,688,331.00","340,000.00","20,000.00","25,500,000.00",11/10/2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=mu6DuidooOY,Meet Mr.Asia Yatinder Singh,0:17:48,Hindi,Motivation,"2,102,542.00","160,000.00","12,000.00","25,500,000.00",7/10/2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=clJrG6xzHdw,Ajjubhai vs Amitbhai,0:21:31,Hindi,Entertainment,"37,467,373.00","2,600,000.00","200,000.00","33,700,000.00",25-06-2020,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=pdCu-4jyVP8,Minecraft king Ajju bhai,0:20:43,Hindi,Entertainment,"543,578.00","63,000.00","3,100.00","33,700,000.00",13-10-2022,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=fxi0DgraMC0,We Need to save Jurassic park,1:13:16,Hindi,Entertainment,"417,504.00","48,000.00","2,300.00","33,700,000.00",11/10/2022,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=FiIULXu36OM,Freefire but everything is green,0:16:42,Hindi,Entertainment,"963,901.00","110,000.00","5,900.00","33,700,000.00",9/10/2022,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=LccRdZI1jic,Four 86 level ke pro vs ajjubhai,0:22:02,Hindi,Entertainment,"1,212,744.00","130,000.00","15,000.00","33,700,000.00",7/10/2022,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
Flying Beast,https://www.youtube.com/watch?v=7DlE8EESsi8,Best flight as a Captain,0:10:02,Hindi,Vlog,"18,111,344.00","610,000.00","8,200.00","7,730,000.00",25-08-2018,1/12/2017,Vlogs,Delhi,"3,216,480,311.00",9,9,No,No,Trustable,Sachin Gautam
Flying Beast,https://www.youtube.com/watch?v=O24EuMiFxvo,Karwachauth vlog 2022,0:15:03,Hindi,Vlog,"963,943.00","78,000.00","1,600.00","7,730,000.00",16-10-2022,1/12/2017,Vlogs,Delhi,"3,216,480,311.00",8,7,No,No,Trustable,Sachin Gautam
Flying Beast,https://www.youtube.com/watch?v=VPHEhyUJ3xk,Starbucks ne kya kata,0:08:05,Hindi,Vlog,"1,093,466.00","80,000.00","1,400.00","7,730,000.00",14-10-2022,1/12/2017,Vlogs,Delhi,"3,216,480,311.00",8,7,No,No,Trustable,Sachin Gautam
Flying Beast,https://www.youtube.com/watch?v=mmqBVHR5CJ0,Bedrest| chalna firna band,0:09:05,Hindi,Vlog,"1,211,132.00","79,000.00","1,900.00","7,730,000.00",12/10/2022,1/12/2017,Vlogs,Delhi,"3,216,480,311.00",7,7,No,No,Trustable,Sachin Gautam
Flying Beast,https://www.youtube.com/watch?v=ijPN20D7yOM,Dusshera vlog,0:06:02,Hindi,Vlog,"766,951.00","60,000.00",848,"7,730,000.00",11/10/2022,1/12/2017,Vlogs,Delhi,"3,216,480,311.00",7,7,No,No,Trustable,Sachin Gautam
BB ki vines,https://www.youtube.com/watch?v=xna_PkWzPVE,Automatic gaadi,0:07:11,Hindi,Entertainment,"20,454,523.00","2,300,000.00","120,000.00","25,600,000.00",25-03-2022,20-06-2015,Entertainment,Delhi,"4,441,901,059.00",9,9,No,No,Trustable,Sachin Gautam
BB ki vines,https://www.youtube.com/watch?v=OGMm7g0tdRA,Titu mama ka gyaan,0:08:08,Hindi,Entertainment,"35,850,962.00","2,600,000.00","90,000.00","25,600,000.00",29-03-2022,20-06-2015,Entertainment,Delhi,"4,441,901,059.00",9,9,No,No,Trustable,Sachin Gautam
BB ki vines,https://www.youtube.com/watch?v=_9sAX5R0qB4,Pitaji got talent,0:06:46,Hindi,Entertainment,"24,614,988.00","2,400,000.00","88,000.00","25,600,000.00",4/2/2021,20-06-2015,Entertainment,Delhi,"4,441,901,059.00",10,10,No,No,Trustable,Sachin Gautam
BB ki vines,https://www.youtube.com/watch?v=8n49WTTPaM0,Kyun sameer kyun,0:06:22,Hindi,Entertainment,"37,991,652.00","2,800,000.00","120,000.00","25,600,000.00",22-10-2020,20-06-2015,Entertainment,Delhi,"4,441,901,059.00",10,10,No,No,Trustable,Sachin Gautam
BB ki vines,https://www.youtube.com/watch?v=BslKbJkOm98,ManglooSutra,0:06:42,Hindi,Entertainment,"30,143,698.00","2,400,000.00","110,000.00","25,600,000.00",30-09-2020,20-06-2015,Entertainment,Delhi,"4,441,901,059.00",9,10,No,No,Trustable,Sachin Gautam
Sejal kumar,https://www.youtube.com/watch?v=Xz6pKWoLDBQ,Living alone in Mumbai at 24 vs 27,0:17:48,Hindi,Entertainment,"34,009.00","1,100.00",64,"1,390,000.00",4/10/2022,14-08-2012,Lifestyle,Delhi,"254,584,471.00",5,5,No,No,Not Trustable,Sachin Gautam
Sejal kumar,https://www.youtube.com/watch?v=vDQNHd8SPVY,He surprised me with this,0:09:55,Hindi,Vlog,"120,349.00","3,800.00",104,"1,390,000.00",26-09-2022,14-08-2012,Lifestyle,Delhi,"254,584,471.00",6,5,No,No,Not Trustable,Sachin Gautam
Sejal kumar,https://www.youtube.com/watch?v=B53-JuSiKik,Going to ikea for the first time,0:06:46,Hindi,Vlog,"59,547.00","2,300.00",55,"1,390,000.00",9/9/2022,14-08-2012,Lifestyle,Delhi,"254,584,471.00",6,5,No,No,Not Trustable,Sachin Gautam
Sejal kumar,https://www.youtube.com/watch?v=sldOI4oIToU,My Mumbai house tour,0:13:12,Hindi,Vlog,"324,713.00","12,000.00",437,"1,390,000.00",2/9/2022,14-08-2012,Lifestyle,Delhi,"254,584,471.00",5,5,No,No,Not Trustable,Sachin Gautam
Sejal kumar,https://www.youtube.com/watch?v=Pr6Nfy1VYgU,Is body positivity real,0:11:13,Hindi,Entertainment,"15,295.00",565,32,"1,390,000.00",31-08-2022,14-08-2012,Lifestyle,Delhi,"254,584,471.00",6,5,No,No,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=HkgEDEB9h4k,Recipe to not look boring in white t-shirt and jeans,0:07:32,Hindi,Lifestyle,"426,765.00","19,000.00","1,000.00","1,250,000.00",26-03-2021,27-08-2017,Lifestyle,Delhi,"177,222,690.00",4,5,No,No,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=okRXz5MdtME,5 Colour block outfits that will help you block bad vibes,0:01:14,Hindi,Lifestyle,"342,903.00","9,100.00",963,"1,250,000.00",20-03-2021,27-08-2017,Lifestyle,Delhi,"177,222,690.00",4,5,No,No,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=MpqJgJe_RhA,1 Sweatshirt in 6 ways,0:02:51,Hindi,Lifestyle,"171,081.00","10,000.00",589,"1,250,000.00",14-03-2021,27-08-2017,Lifestyle,Delhi,"177,222,690.00",5,4,No,No,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=vpBoBF63YHc,"Oops, I wore summer dresses in winter & didn't feel cold",0:02:08,Hindi,Lifestyle,"3,489,422.00","15,000.00","1,600.00","1,250,000.00",18-01-2021,27-08-2017,Lifestyle,Delhi,"177,222,690.00",4,4,No,No,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=1d4-PE6qA7s,Its normal to show too much skin,0:01:00,Hindi,Lifestyle,"807,026.00","28,000.00","4,500.00","1,250,000.00",14-09-2020,27-08-2017,Lifestyle,Delhi,"177,222,690.00",3,4,No,No,Not Trustable,Sachin Gautam
Technical Guruji,https://www.youtube.com/watch?v=p_-QHnc6qEM,BGMI Coming Back? | 5G In India | Xiaomi Ban in India?,0:13:04,Hindi,Vlog,"176,241.00","12,000.00","1,100.00","22,500,000.00",16-10-2022,19-10-2015,Tech,Rajasthan,"3,138,270,048.00",9,8,No,No,Trustable,Sachin Gautam
Technical Guruji,https://www.youtube.com/watch?v=C__5zxKL2GQ,BGMI Back In India | Trump On Twitter | iPhone SE 4 ,0:12:13,Hindi,Vlog,"479,526.00","35,000.00","1,800.00","22,500,000.00",15-10-2022,19-10-2015,Tech,Rajasthan,"3,138,270,048.00",9,8,No,No,Trustable,Sachin Gautam
Technical Guruji,https://www.youtube.com/watch?v=bJUc_VQXjj0,OPPO Exposed,0:09:09,Hindi,Vlog,"893,715.00","87,000.00","9,900.00","22,500,000.00",14-10-2022,19-10-2015,Tech,Rajasthan,"3,138,270,048.00",8,8,No,No,Trustable,Sachin Gautam
Technical Guruji,https://www.youtube.com/watch?v=oZru9RfAh_g,The Secrets Of Truecaller Revealed,0:09:30,Hindi,Vlog,"666,215.00","44,000.00","2,200.00","22,500,000.00",13-10-2022,19-10-2015,Tech,Rajasthan,"3,138,270,048.00",8,7,No,No,Trustable,Sachin Gautam
Technical Guruji,https://www.youtube.com/watch?v=bHjaFnmv7UQ,Google Pixel 7 & Pixel 7 Pro Unboxing and First Look ,0:12:15,Hindi,Review,"317,868.00","18,000.00","1,600.00","22,500,000.00",12/10/2022,19-10-2015,Tech,Rajasthan,"3,138,270,048.00",8,7,No,No,Trustable,Sachin Gautam
Tech Burner,https://www.youtube.com/watch?v=_ZfQtK2VSlk,Best Smartphones to buy on Amazon Great Indian Festival,0:10:18,Hindi,Review,"552,616.00","38,000.00","1,900.00","9,580,000.00",16-10-2022,26-09-2014,Tech,Delhi,"1,396,496,995.00",9,9,No,No,Trustable,Sachin Gautam
Tech Burner,https://www.youtube.com/watch?v=c5aKiw2GeZ8,I Tried 7 Weird Gadgets,0:07:10,Hindi,Review,"1,021,101.00","83,000.00","2,300.00","9,580,000.00",14-10-2022,26-09-2014,Tech,Delhi,"1,396,496,995.00",9,9,No,No,Trustable,Sachin Gautam
Tech Burner,https://www.youtube.com/watch?v=rfm7Yp9nG-s,Google Pixel 7 & 7 Pro Unboxing ! *Software Magic,0:10:22,Hindi,Review,"929,904.00","67,000.00","2,400.00","9,580,000.00",12/10/2022,26-09-2014,Tech,Delhi,"1,396,496,995.00",9,9,No,No,Trustable,Sachin Gautam
Tech Burner,https://www.youtube.com/watch?v=nrGUW64oSOs,Surprising YouTubers with Layers Skins,0:05:23,Hindi,Review,"1,590,154.00","130,000.00","3,900.00","9,580,000.00",11/10/2022,26-09-2014,Tech,Delhi,"1,396,496,995.00",9,9,No,No,Trustable,Sachin Gautam
Tech Burner,https://www.youtube.com/watch?v=dRCg-W5lTXU,Dell Inspiron 14 Unboxing Review ! *Folding Laptop*,0:06:29,Hindi,Review,"552,866.00","34,000.00","1,200.00","9,580,000.00",10/10/2022,26-09-2014,Tech,Delhi,"1,396,496,995.00",9,9,No,No,Trustable,Sachin Gautam
Sanjeev Kapoor Khazana,https://www.youtube.com/watch?v=Nf1D6lLtBl0,Jerk Chicken Burger,0:03:04,Hindi,Cooking,"3,218.00",153,12,"7,110,000.00",16-10-2022,29-07-2009,Cooking,Haryana,"1,368,701,215.00",10,9,No,No,Trustable,Sachin Gautam
Sanjeev Kapoor Khazana,https://www.youtube.com/watch?v=6di0yGy5yog,Peanut Butter Tartlets,0:02:16,Hindi,Cooking,"3,738.00",194,14,"7,110,000.00",15-10-2022,29-07-2009,Cooking,Haryana,"1,368,701,215.00",10,9,No,No,Trustable,Sachin Gautam
Sanjeev Kapoor Khazana,https://www.youtube.com/watch?v=XoQYdrftKKs,Bharlela Pomfret,0:04:14,Hindi,Cooking,"4,740.00",236,16,"7,110,000.00",15-10-2022,29-07-2009,Cooking,Haryana,"1,368,701,215.00",10,9,No,No,Trustable,Sachin Gautam
Sanjeev Kapoor Khazana,https://www.youtube.com/watch?v=WYIN5GUS4Uc,3 types of Oil,0:03:15,Hindi,Cooking,"7,009.00",321,19,"7,110,000.00",14-10-2022,29-07-2009,Cooking,Haryana,"1,368,701,215.00",10,10,No,No,Trustable,Sachin Gautam
Sanjeev Kapoor Khazana,https://www.youtube.com/watch?v=S25LCkd3N8E,Chicken Kozhambu,0:03:07,Hindi,Cooking,"4,524.00",216,17,"7,110,000.00",14-10-2022,29-07-2009,Cooking,Haryana,"1,368,701,215.00",10,10,No,No,Trustable,Sachin Gautam
Nisha Madhulika,https://www.youtube.com/watch?v=aEAXtuPsA9o,Crispy Mathri Recipe,0:08:22,Hindi,Cooking,"74,095.00","2,100.00",442,"13,100,000.00",15-10-2022,2/8/2009,Cooking,Uttar Pradesh,"2,704,280,515.00",10,10,No,No,Trustable,Sachin Gautam
Nisha Madhulika,https://www.youtube.com/watch?v=Ta0TBkgXW8g,Quick n Eassy Chana dal Laddu Recipe,0:08:30,Hindi,Cooking,"154,003.00","4,200.00",695,"13,100,000.00",13-10-2022,2/8/2009,Cooking,Uttar Pradesh,"2,704,280,515.00",10,10,No,No,Trustable,Sachin Gautam
Nisha Madhulika,https://www.youtube.com/watch?v=KGTCVcYTpmY, Moong Dal Crispy Cheela recipe,0:08:42,Hindi,Cooking,"217,699.00","5,700.00",820,"13,100,000.00",11/10/2022,2/8/2009,Cooking,Uttar Pradesh,"2,704,280,515.00",10,10,No,No,Trustable,Sachin Gautam
Nisha Madhulika,https://www.youtube.com/watch?v=-15z-v-X9BU,Atta Gur Sweet Papdi,0:08:18,Hindi,Cooking,"165,938.00","3,800.00",662,"13,100,000.00",7/10/2022,2/8/2009,Cooking,Uttar Pradesh,"2,704,280,515.00",10,10,No,No,Trustable,Sachin Gautam
Nisha Madhulika,https://www.youtube.com/watch?v=TwABtt_LzvM,Rice Flour Masala Poori Recipe,0:08:45,Hindi,Cooking,"285,646.00","5,000.00",701,"13,100,000.00",4/10/2022,2/8/2009,Cooking,Uttar Pradesh,"2,704,280,515.00",10,10,No,No,Trustable,Sachin Gautam
Bharatz Kitchen Hindi,https://www.youtube.com/watch?v=I-Kl83edIeQ, Varki PURI Recipe Tea time Snack,0:08:52,Hindi,Cooking,"450,086.00","9,300.00",280,"11,400,000.00",10/10/2022,10/8/2016,Cooking,Not Available,"1,986,492,728.00",10,8,No,No,Trustable,Sachin Gautam
Bharatz Kitchen Hindi,https://www.youtube.com/watch?v=6Fw9ZRnAXAA,Jeera Wale Aloo | Spicy Dry Aloo Sabji,0:04:55,Hindi,Cooking,"391,799.00","7,900.00",272,"11,400,000.00",12/10/2022,10/8/2016,Cooking,Not Available,"1,986,492,728.00",10,8,No,No,Trustable,Sachin Gautam
Bharatz Kitchen Hindi,https://www.youtube.com/watch?v=unqTTIe-YuU,Aloo Masala Kachori - Khasta kachori recipe,0:10:14,Hindi,Cooking,"299,916.00","7,100.00",209,"11,400,000.00",8/10/2022,10/8/2016,Cooking,Not Available,"1,986,492,728.00",10,9,No,No,Trustable,Sachin Gautam
Bharatz Kitchen Hindi,https://www.youtube.com/watch?v=WsXH25UGE0k,EASY Instant Chicken Curry,0:07:33,Hindi,Cooking,"1,551,173.00","52,000.00",899,"11,400,000.00",6/10/2022,10/8/2016,Cooking,Not Available,"1,986,492,728.00",10,9,No,No,Trustable,Sachin Gautam
Bharatz Kitchen Hindi,https://www.youtube.com/watch?v=WZzeK-bOtUk,ALOO SNACKS,0:05:55,Hindi,Cooking,"404,238.00","6,100.00",205,"11,400,000.00",4/10/2022,10/8/2016,Cooking,Not Available,"1,986,492,728.00",10,7,No,No,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=TrvjSqNwGMQ,Hostel Life vs Day Scholar,0:20:24,Hindi,Motivation,"186,263.00","13,000.00",602,"20,000,000.00",16-10-2022,6/12/2013,Motivation,Delhi,"1,543,745,653.00",7,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=iMGCB-xqUhc,3rd Episode - Turn All Defeats To Victories ,0:21:08,Hindi,Motivation,"329,979.00","24,000.00",878,"20,000,000.00",15-10-2022,6/12/2013,Motivation,Delhi,"1,543,745,653.00",9,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=8R-i9sRj_S8,How To Start Your Manufacturing Business,0:13:33,Hindi,Motivation,"120,860.00","7,000.00",152,"20,000,000.00",14-10-2022,6/12/2013,Motivation,Delhi,"1,543,745,653.00",7,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=_U4CNKXpjZ8,2nd Episode - War Winning Strategy ,0:18:05,Hindi,Motivation,"532,694.00","35,000.00","1,200.00","20,000,000.00",13-10-2022,6/12/2013,Motivation,Delhi,"1,543,745,653.00",9,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=XypTHK_oAGs,Ep:31 Gym V/S Yoga,0:25:59,Hindi,Motivation,"232,395.00","17,000.00",700,"20,000,000.00",12/10/2022,6/12/2013,Motivation,Delhi,"1,543,745,653.00",8,7,Yes,Yes,Trustable,Sachin Gautam
The Chopra Well,https://www.youtube.com/watch?v=0igt6a-ReTY,NYC Community Meditation & NeverAlone Conversation ,0:47:01,English,Motivation,"1,985.00",93,15,"549,000.00",16-10-2022,29-10-2011,Motivation,Delhi,"59,523,579.00",5,6,Yes,Yes,Trustable,Sachin Gautam
The Chopra Well,https://www.youtube.com/watch?v=dSl8Q6ATcZI,The 4 Most Important Questions Of Existence. My Take,0:09:49,English,Motivation,"5,557.00",467,67,"549,000.00",16-10-2022,29-10-2011,Motivation,Delhi,"59,523,579.00",5,6,Yes,Yes,Trustable,Sachin Gautam
The Chopra Well,https://www.youtube.com/watch?v=w5GL-xEx-fU,"Science, Being, & Becoming: The Spiritual Lives of Scientists",0:32:07,English,Motivation,"1,955.00",121,16,"549,000.00",16-10-2022,29-10-2011,Motivation,Delhi,"59,523,579.00",5,6,Yes,Yes,Trustable,Sachin Gautam
The Chopra Well,https://www.youtube.com/watch?v=J_WZeQmC77Y,"Art, Science, Existence, Awareness and Joy",0:10:48,English,Motivation,"2,681.00",201,27,"549,000.00",15-10-2022,29-10-2011,Motivation,Delhi,"59,523,579.00",5,6,Yes,Yes,Trustable,Sachin Gautam
The Chopra Well,https://www.youtube.com/watch?v=R5J1VZ3Y8mo,You are not a person but the field of awareness in which the person is a transforming process,0:08:30,English,Motivation,"19,147.00",604,66,"549,000.00",14-10-2022,29-10-2011,Motivation,Delhi,"59,523,579.00",5,6,Yes,Yes,Trustable,Sachin Gautam
Round2hell,https://www.youtube.com/watch?v=5qo4-D4Mn3E,EPL Season 2 ,0:48:22,Hindi,Entertainment,"51,327,034.00","3,700,000.00","150,000.00","27,700,000.00",31-05-2022,20-10-2016,Entertainment,Uttar Pradesh,"2,832,210,755.00",9,7,No,No,Trustable,Sachin Gautam
Round2hell,https://www.youtube.com/watch?v=z-Jq-Cgg1jk,AGE OF WATER ,0:38:44,Hindi,Entertainment,"52,803,350.00","3,700,000.00","200,000.00","27,700,000.00",27-01-2022,20-10-2016,Entertainment,Uttar Pradesh,"2,832,210,755.00",9,8,No,No,Trustable,Sachin Gautam
Round2hell,https://www.youtube.com/watch?v=xhsIMUmd4sY,1959,0:51:22,Hindi,Entertainment,"77,565,355.00","5,100,000.00","380,000.00","27,700,000.00",30-08-2021,20-10-2016,Entertainment,Uttar Pradesh,"2,832,210,755.00",10,9,No,No,Trustable,Sachin Gautam
Round2hell,https://www.youtube.com/watch?v=RqLFXpuZFFk,ZOMBIE | The Living Dead,0:40:34,Hindi,Entertainment,"76,439,222.00","5,400,000.00","250,000.00","27,700,000.00",7/4/2021,20-10-2016,Entertainment,Uttar Pradesh,"2,832,210,755.00",10,7,No,No,Trustable,Sachin Gautam
Round2hell,https://www.youtube.com/watch?v=MzwYN2eVv0E,DECODE OR DIE,0:30:59,Hindi,Entertainment,"68,307,170.00","2,700,000.00","120,000.00","27,700,000.00",7/1/2021,20-10-2016,Entertainment,Uttar Pradesh,"2,832,210,755.00",10,7,No,No,Trustable,Sachin Gautam
Intellipaat,https://www.youtube.com/watch?v=MBbzFz6g6TE,AWS Lambda Tutorial,0:17:52,English,Educational,"1,450.00",39,25,"1,520,000.00",17-10-2022,24-01-2013,Educational,Karnataka,"97,379,472.00",8,7,Yes,No,Not Trustable,Sachin Gautam
Intellipaat,https://www.youtube.com/watch?v=lx14FPSRX0A,What is Software Development Lifecycle?,0:04:29,English,Educational,"1,532.00",67,5,"1,520,000.00",16-10-2022,24-01-2013,Educational,Karnataka,"97,379,472.00",8,7,Yes,No,Not Trustable,Sachin Gautam
Intellipaat,https://www.youtube.com/watch?v=4HzTT6xkV7g,How to Crack Data Science Interview,0:09:43,English,Educational,"1,529.00",61,3,"1,520,000.00",16-10-2022,24-01-2013,Educational,Karnataka,"97,379,472.00",8,7,Yes,No,Not Trustable,Sachin Gautam
Intellipaat,https://www.youtube.com/watch?v=0Z0vZU6cMKY,MLOps Full Course,5:12:46,English,Educational,"4,123.00",115,0,"1,520,000.00",15-10-2022,24-01-2013,Educational,Karnataka,"97,379,472.00",8,7,Yes,No,Not Trustable,Sachin Gautam
Intellipaat,https://www.youtube.com/watch?v=ETChs4iQa8g,Classification in Machine Learning ,0:34:41,English,Educational,"2,534.00",57,2,"1,520,000.00",14-10-2022,24-01-2013,Educational,Karnataka,"97,379,472.00",8,7,Yes,No,Not Trustable,Sachin Gautam
Apna College,https://www.youtube.com/watch?v=Gn5oj3vTJv4,Mechanical Branch to Tech Placement,0:20:36,Hindi,Employment,"159,902.00","8,800.00",871,"2,810,000.00",14-10-2022,5/8/2020,Educational,Delhi,"357,875,778.00",9,8,Yes,Yes,Trustable,Sachin Gautam
Apna College,https://www.youtube.com/watch?v=qZcemiKZX84,Facts | This is Wrong ,0:24:34,Hindi,Employment,"464,751.00","30,000.00","3,700.00","2,810,000.00",14-10-2022,5/8/2020,Educational,Delhi,"357,875,778.00",9,9,Yes,Yes,Trustable,Sachin Gautam
Apna College,https://www.youtube.com/watch?v=5jS-agcQgfM,"Big Revolution | Placement ho to Alpha, nahi to course to college bhi karate hai",0:22:14,Hindi,Employment,"638,926.00","37,000.00","3,000.00","2,810,000.00",12/10/2022,5/8/2020,Educational,Delhi,"357,875,778.00",9,8,Yes,Yes,Trustable,Sachin Gautam
Apna College,https://www.youtube.com/watch?v=_8gq4AKtCXw,Kaash ye humne pehle kia hota,0:00:20,Hindi,Employment,"164,865.00","8,800.00",516,"2,810,000.00",11/10/2022,5/8/2020,Educational,Delhi,"357,875,778.00",9,8,Yes,Yes,Trustable,Sachin Gautam
Apna College,https://www.youtube.com/watch?v=Z557Ip9dhRc,What is 2.0?,0:02:26,Hindi,Employment,"439,354.00","27,000.00","1,900.00","2,810,000.00",7/10/2022,5/8/2020,Educational,Delhi,"357,875,778.00",9,8,Yes,Yes,Trustable,Sachin Gautam
YourExcelGuy,https://www.youtube.com/watch?v=SwBCEcVQcWY,Excel Password Encryption to Open and Modify in Exce,0:02:44,English,Educational,37,1,0,327,8/4/2022,3/1/2022,Educational,Tamil Nadu,"2,954.00",9,10,Yes,Yes,Trustable,Sachin Gautam
