Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Total No of Comments,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness_Thumbnail,Trustworthiness_Video,Does the Video Require Subject Matter Expertise from an Expert ?,Creator_SME,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Bhagavad Gita,https://www.youtube.com/watch?v=dd0PZ9BwfBs,You Will Never Be Lazy Again After Watching This Story - Swami Mukundananda,0:08:08,English,Lifestyle,356792,20000,215,892000,17-10-2021,14-10-2018,Lifestyle,India,"41,260,049",9,9,Yes,Yes,Trustable,Manya Tyagi
Filter Copy,https://www.youtube.com/watch?v=QHmtz9rRihA,FilterCopy | Neighbourhood Romance: Meeting Your Crush After A Long Time | Ft. Devishi & Omkar,0:10:10,Hindi,Entertainment,1170271,55000,844,9760000,14-10-2011,4/8/2015,Entertainment,India,"3,724,849,135",9,9,No,No,Trustable,Manya Tyagi
Sandeep Maheshwari,https://www.youtube.com/watch?v=kBo3ipDEH6k,POWERFUL MOTIVATIONAL VIDEO By Sandeep Maheshwari | Best Motivational Quotes,0:04:50,Hindi,Motivation,15047368,551000,13000,25500000,19-11-2022,13-01-2012,Motivation,India,"1,992,369,703",9,9,Yes,Yes,Trustable,Manya Tyagi
Sonu Sharma ,https://www.youtube.com/watch?v=L0kgz2fHn_s,Ignore ???? ????? ?? ??? ???? | SONU SHARMA ,0:14:31,Hindi,Motivation,1468286,92000,1800,9950000,8/10/2022,7/10/2001,Motivation,India,"751,928,551",8,8,Yes,Yes,Trustable,Manya Tyagi
Apni Kaksha,https://www.youtube.com/watch?v=4-Q6BTHjkKY,Class 12 Board | (Commerce) - How to study to get Top Scores | Pro-Insights #7,0:11:31,Hindi,Educational,2668776,14000,1277,1590000,16-06-2020,6/4/2018,Educational,India,"193,239,383",8,8,Yes,Yes,Trustable,Manya Tyagi
Mahatmaji Technical ,https://www.youtube.com/watch?v=jFs2w9QmDVg,What To Do After 12th Commerce With And Without Maths In 2021 || ,0:16:39,Hindi,Educational,445046,18000,768,6690000,3/6/2021,22-10-2016,Educational,India,"396,254,401",8,8,Yes,Yes,Trustable,Manya Tyagi
Tal Education ,https://www.youtube.com/watch?v=UA35l3AyDtQ,Career options for COMMERCE students after 12th in 2022 | ???? ?? ??? OPPORTUNITIES ???? ???,0:15:33,Hindi,Educational,91376,3900,44,71100,30-08-2021,4/5/2018,Educational,India,"7,146,225",7,7,Yes,Yes,Trustable,Manya Tyagi
Akash Agrawal,https://www.youtube.com/watch?v=MN1bujHrVZ4,"One Shot Commission, Discount & Brokerage | Class 12th Commerce | Maths 2 | HSC 2022 |",1:21:23,Hindi,Educational,43607,1400,118,56500,4/2/2022,24-04-2020,Educational,India,"4,979,207",7,8,Yes,Yes,Trustable,Manya Tyagi
Padhle commerce,https://www.youtube.com/watch?v=leKaOkx4Mwo,Best Timetable for Class 12 Commerce Students | By Heer Ma'am | Padhle,0:13:40,Hindi,Educational,54266,2600,224,80300,22-03-2022,29-04-2021,Educational,India,"5,456,289",6,6,Yes,Yes,Trustable,Manya Tyagi
Nisha Rathod,https://www.youtube.com/watch?v=jllOM3XCls8,Don't miss this @ Mapro Garden l Mahabaleshwar l Fresh Strawberry Ice-cream & Fresh Strawberry Cream,0:15:00,Hindi,Entertainment,31800,317000,41,2600,27-12-2020,30-09-2011,Entertainment,India,"217,021",5,5,NO,No,Not Trustable,Manya Tyagi
